# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337365090847015381e-01,1.338521540164947510e-01,-1.008007451891899109e-01,2.728612422943115234e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337365090847015381e-01,1.338521540164947510e-01,0.000000000000000000e+00,2.728612422943115234e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
2.000000000000000042e-03,-2.346725755604775520e-08,4.135989312807798923e-08,-1.544334369608964599e-03,2.346782457607332617e-05,-4.135959170525893569e-05,1.544334888458251953e+00,3.337365090847015381e-01,1.338521540164947510e-01,-1.008007451891899109e-01,2.728612422943115234e-01,2.346725755604775520e-08,-4.135989312807798923e-08,1.544334369608964599e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337365090847015381e-01,1.338521540164947510e-01,0.000000000000000000e+00,2.728612422943115234e-01,1.128029785156250000e+02,1.122885894775390625e+02,1.925098419189453125e+01,1.128031692504882812e+02,2.999999761503135431e+01
3.000000000000000062e-03,4.435887249515082084e-07,5.848154093022930232e-07,-4.640564512949078846e-03,-4.670392372645437717e-04,-5.434670601971447468e-04,3.096231460571289062e+00,3.336901068687438965e-01,1.340317130088806152e-01,-1.006705909967422485e-01,2.728865444660186768e-01,-4.435887249515082084e-07,-5.848154093022930232e-07,4.640564512949078846e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.336901068687438965e-01,1.340317130088806152e-01,0.000000000000000000e+00,2.728865444660186768e-01,2.256072082519531250e+02,2.245759277343750000e+02,3.804693222045898438e+01,2.256076049804687500e+02,2.999997608019181428e+01
4.000000000000000083e-03,2.942426826212143311e-06,3.012283784886706687e-06,-9.296118453691879988e-03,-2.498692832887172699e-03,-2.427606843411922455e-03,4.655555248260498047e+00,3.336445987224578857e-01,1.342173963785171509e-01,-1.005389988422393799e-01,2.729102373123168945e-01,-2.942426826212143311e-06,-3.012283784886706687e-06,9.296118453691879988e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.336445987224578857e-01,1.342173963785171509e-01,0.000000000000000000e+00,2.729102373123168945e-01,3.384126892089843750e+02,3.368620300292968750e+02,5.639859390258789062e+01,3.384132995605468750e+02,2.999988966235577692e+01
5.000000000000000104e-03,1.004369993522269634e-05,9.627889123353853312e-06,-1.551828503386167360e-02,-7.100589573383331299e-03,-6.616312544792890549e-03,6.222168445587158203e+00,3.336000442504882812e-01,1.344090551137924194e-01,-1.004058942198753357e-01,2.729324996471405029e-01,-1.004369993522269634e-05,-9.627889123353853312e-06,1.551828503386167360e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.336000442504882812e-01,1.344090551137924194e-01,0.000000000000000000e+00,2.729324996471405029e-01,4.512193603515625000e+02,4.491469116210937500e+02,7.431645965576171875e+01,4.512201843261718750e+02,2.999964884499181395e+01
6.000000000000000125e-03,2.534968561741525914e-05,2.365851552356942661e-05,-2.331420771516316826e-02,-1.530372444540262222e-02,-1.403303816914558411e-02,7.795923709869384766e+00,3.335562646389007568e-01,1.346067190170288086e-01,-1.002709791064262390e-01,2.729535102844238281e-01,-2.534968561741525914e-05,-2.365851552356942661e-05,2.331420771516316826e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.335562646389007568e-01,1.346067190170288086e-01,0.000000000000000000e+00,2.729535102844238281e-01,5.640272216796875000e+02,5.614306030273437500e+02,9.181078338623046875e+01,5.640283203125000000e+02,2.999910529150809424e+01
7.000000000000000146e-03,5.349652072893592734e-05,4.925385326930858016e-05,-3.269086269608465628e-02,-2.814087830483913422e-02,-2.560179866850376129e-02,9.376659393310546875e+00,3.335134387016296387e-01,1.348101645708084106e-01,-1.001341193914413452e-01,2.729734778404235840e-01,-5.349652072893592734e-05,-4.925385326930858016e-05,3.269086269608465628e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.335134387016296387e-01,1.348101645708084106e-01,0.000000000000000000e+00,2.729734778404235840e-01,6.768361816406250000e+02,6.737131958007812500e+02,1.088915710449218750e+02,6.768375854492187500e+02,2.999803659371646347e+01
8.000000000000000167e-03,1.001563662690305482e-04,9.148593485085206706e-05,-4.365506240046032604e-02,-4.664638265967369080e-02,-4.224678874015808105e-02,1.096419525146484375e+01,3.334715068340301514e-01,1.350193470716476440e-01,-9.999517351388931274e-02,2.729924917221069336e-01,-1.001563662690305482e-04,-9.148593485085206706e-05,4.365506240046032604e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.334715068340301514e-01,1.350193470716476440e-01,0.000000000000000000e+00,2.729924917221069336e-01,7.896463012695312500e+02,7.859946289062500000e+02,1.255686035156250000e+02,7.896480712890625000e+02,2.999613081084230259e+01
8.999999999999999320e-03,1.720392447351431998e-04,1.563480714416672806e-04,-5.621338656608609874e-02,-7.185572385787963867e-02,-6.489196419715881348e-02,1.255832290649414062e+01,3.334304094314575195e-01,1.352341026067733765e-01,-9.985396265983581543e-02,2.730106115341186523e-01,-1.720392447351431998e-04,-1.563480714416672806e-04,5.621338656608609874e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.334304094314575195e-01,1.352341026067733765e-01,0.000000000000000000e+00,2.730106115341186523e-01,9.024574584960937500e+02,8.982749633789062500e+02,1.418514251708984375e+02,9.024595947265625000e+02,2.999297081197084935e+01
1.000000000000000021e-02,2.768945022459302517e-04,2.507531626657011022e-04,-7.037219178692288857e-02,-1.048049852252006531e-01,-9.446059912443161011e-02,1.415880680084228516e+01,3.333901166915893555e-01,1.354543119668960571e-01,-9.971030056476593018e-02,2.730281949043273926e-01,-2.768945022459302517e-04,-2.507531626657011022e-04,7.037219178692288857e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333901166915893555e-01,1.354543119668960571e-01,0.000000000000000000e+00,2.730281949043273926e-01,1.015269653320312500e+03,1.010554199218750000e+03,1.577493896484375000e+02,1.015272277832031250e+03,2.998801842704624221e+01
1.099999999999999936e-02,4.235116816858066572e-04,3.825315931168537273e-04,-8.613755819795891611e-02,-1.465301066637039185e-01,-1.318748444318771362e-01,1.576537513732910156e+01,3.333506584167480469e-01,1.356799155473709106e-01,-9.956406056880950928e-02,2.730452418327331543e-01,-4.235116816858066572e-04,-3.825315931168537273e-04,8.613755819795891611e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333506584167480469e-01,1.356799155473709106e-01,0.000000000000000000e+00,2.730452418327331543e-01,1.128082885742187500e+03,1.122832519531250000e+03,1.732715911865234375e+02,1.128085937500000000e+03,2.998059842242136952e+01
1.200000000000000025e-02,6.217205798956375621e-04,5.604283832769086596e-04,-1.035152816417270749e-01,-1.980659514665603638e-01,-1.780553311109542847e-01,1.737772178649902344e+01,3.333121538162231445e-01,1.359107494354248047e-01,-9.941514581441879272e-02,2.730619907379150391e-01,-6.217205798956375621e-04,-5.604283832769086596e-04,1.035152816417270749e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333121538162231445e-01,1.359107494354248047e-01,0.000000000000000000e+00,2.730619907379150391e-01,1.240896972656250000e+03,1.235109741210937500e+03,1.884269409179687500e+02,1.240900634765625000e+03,1.996988230827155064e+01
